103|2023-10-08 15:00:00+00|1|0|12|0.7500|1.5000|13|1.7692|1.5385
103|2023-10-08 15:00:00+00|5|2|12|2.1667|2.0833|11|1.3636|1.5455
103|2023-10-08 15:00:00+00|1|3|11|2.4545|0.7273|11|2.4545|1.6364
119|2023-10-08 16:00:00+00|2|2|10|1.3000|1.3000|10|1.0000|1.9000
197|2023-10-08 16:30:00+00|3|0|6|1.5000|1.3333|6|0.3333|1.8333
144|2023-10-08 16:30:00+00|1|1|9|1.6667|1.0000|9|1.6667|1.0000
103|2023-10-08 17:15:00+00|1|2|13|1.3846|1.6923|11|1.5455|0.9091
144|2023-10-08 17:15:00+00|0|4|9|1.2222|1.1111|9|2.0000|1.3333
119|2023-10-08 18:00:00+00|1|1|10|1.1000|1.3000|10|2.1000|1.3000
197|2023-10-08 18:30:00+00|5|0|6|2.6667|0.8333|6|0.6667|1.6667
119|2023-10-20 17:00:00+00|1|2|11|0.3636|1.8182|11|1.9091|0.8182
197|2023-10-20 17:30:00+00|2|1|7|1.0000|1.5714|7|1.1429|1.7143
144|2023-10-20 18:45:00+00|4|1|10|2.2000|1.2000|10|1.3000|2.2000
103|2023-10-21 13:00:00+00|4|3|12|2.5000|1.5833|14|1.6429|2.2143
144|2023-10-21 14:00:00+00|1|0|10|0.8000|2.2000|10|2.3000|1.1000
197|2023-10-21 14:30:00+00|2|0|7|0.2857|2.0000|6|1.0000|2.3333
119|2023-10-21 15:00:00+00|2|1|11|2.0000|1.2727|11|1.0909|1.4545
103|2023-10-21 16:00:00+00|3|2|12|1.5833|0.9167|12|2.3333|0.9167
144|2023-10-21 16:15:00+00|1|1|10|1.1000|2.0000|10|1.1000|1.9000
197|2023-10-21 17:00:00+00|1|0|7|1.4286|1.5714|6|1.8333|1.6667
144|2023-10-21 18:45:00+00|3|2|10|1.0000|1.5000|10|1.7000|0.5000
144|2023-10-22 11:30:00+00|4|0|10|1.6000|1.0000|10|1.1000|1.2000
119|2023-10-22 12:00:00+00|0|2|11|1.1818|1.5455|11|1.0909|1.2727
103|2023-10-22 12:30:00+00|2|0|14|1.6429|1.5000|14|1.3571|1.7143
197|2023-10-22 13:00:00+00|0|3|7|1.4286|1.8571|7|1.7143|1.1429
197|2023-10-22 13:00:00+00|0|0|7|1.2857|2.2857|7|1.4286|1.2857
119|2023-10-22 14:00:00+00|0|2|11|1.0000|1.5455|11|1.9091|0.8182
144|2023-10-22 14:00:00+00|2|0|10|1.2000|1.1000|10|1.6000|1.0000
103|2023-10-22 15:00:00+00|1|1|12|1.4167|1.8333|13|0.7692|1.3846
103|2023-10-22 15:00:00+00|0|3|13|1.8462|1.8462|13|0.8462|1.3846
103|2023-10-22 15:00:00+00|3|2|13|0.8462|2.3077|13|2.3846|2.0769
103|2023-10-22 15:00:00+00|3|1|13|1.0000|1.3846|12|1.6667|1.7500
197|2023-10-22 15:30:00+00|2|0|7|1.8571|0.7143|7|0.5714|2.1429
119|2023-10-22 16:00:00+00|2|2|11|1.0909|1.9091|11|1.9091|0.9091
144|2023-10-22 16:30:00+00|3|2|10|1.0000|0.9000|10|1.6000|1.0000
197|2023-10-22 16:30:00+00|0|3|7|3.1429|0.2857|7|3.0000|0.7143
103|2023-10-22 17:15:00+00|3|4|13|1.9231|1.0769|13|1.4615|1.0769
144|2023-10-22 17:15:00+00|4|0|10|1.4000|1.9000|10|1.1000|1.4000
119|2023-10-23 17:00:00+00|1|2|11|1.4545|1.6364|11|1.3636|1.3636
119|2023-10-27 17:00:00+00|2|1|12|1.4167|1.3333|12|1.0833|1.5833
144|2023-10-27 18:45:00+00|2|1|11|1.0000|1.6364|11|1.0909|1.9091
144|2023-10-28 14:00:00+00|0|2|11|1.0000|1.4545|11|1.2727|1.0000
197|2023-10-28 14:30:00+00|2|1|7|0.8571|2.2857|8|1.1250|2.0000
119|2023-10-28 15:00:00+00|4|0|12|2.0000|1.2500|12|0.4167|1.8333
103|2023-10-28 16:00:00+00|6|1|14|1.0000|1.2857|14|1.0000|2.2857
144|2023-10-28 16:15:00+00|2|0|11|1.2727|2.3636|11|1.1818|1.5455
197|2023-10-28 17:00:00+00|3|2|8|0.5000|2.1250|8|0.5000|1.7500
144|2023-10-28 18:45:00+00|5|1|11|1.6364|1.1818|11|1.6364|1.7273
144|2023-10-29 12:30:00+00|2|1|11|2.0909|1.0909|11|1.7273|0.7273
119|2023-10-29 13:00:00+00|1|1|12|1.0833|1.5000|12|0.9167|1.5833
144|2023-10-29 15:00:00+00|1|3|11|1.0909|1.8182|11|2.3636|1.1818
119|2023-10-29 15:00:00+00|0|0|12|1.9167|0.8333|12|1.4167|1.6667
197|2023-10-29 15:30:00+00|0|1|8|1.2500|2.0000|8|1.1250|1.5000
103|2023-10-29 16:00:00+00|1|1|15|1.7333|2.3333|13|1.6923|1.0000
103|2023-10-29 16:00:00+00|2|0|13|1.6154|1.8462|14|1.7143|1.9286
103|2023-10-29 16:00:00+00|2|2|14|2.3571|2.1429|14|0.7857|1.3571
103|2023-10-29 16:00:00+00|1|0|14|1.1429|1.3571|14|2.0000|1.2857
119|2023-10-29 17:00:00+00|2|1|12|1.9167|1.0000|12|1.9167|0.7500
197|2023-10-29 17:30:00+00|5|0|8|3.0000|0.6250|7|1.5714|1.5714
144|2023-10-29 17:30:00+00|3|1|11|1.4545|1.0909|11|1.1818|1.0000
103|2023-10-29 18:13:00+00|1|3|15|1.2667|1.7333|13|1.3846|1.7692
144|2023-10-29 18:15:00+00|0|3|11|0.8182|2.0000|11|1.8182|0.9091
197|2023-10-29 18:30:00+00|2|0|8|1.3750|1.3750|8|1.1250|1.7500
103|2023-10-30 17:30:00+00|3|1|13|2.6154|1.6923|15|1.6667|1.4000
197|2023-10-30 17:30:00+00|2|0|8|1.8750|1.0000|8|1.8750|0.6250
119|2023-10-30 18:00:00+00|2|1|12|1.1667|1.1667|12|1.1667|1.9167
